tweet_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,Type,retweet_count,favorite_count,jpg_url,img_num,prediction_1,p1_conf,p1_dog,prediction_2,p2_conf,p2_dog,prediction_3,p3_conf,p3_dog
892420643555336193,2017-08-01 16:23:56+00:00,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,Phineas,None,6976,33700,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,orange,9.70486,False,bagel,8.58511,False,banana,7.611,False
892177421306343426,2017-08-01 00:17:27+00:00,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,None,5279,29232,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,32.3581,True,Pekinese,9.06465,True,papillon,6.89569,True
891815181378084864,2017-07-31 00:18:03+00:00,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,None,3466,21974,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,71.60119999999999,True,malamute,7.8253,True,kelpie,3.13789,True
891689557279858688,2017-07-30 15:58:51+00:00,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,None,7190,36779,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,paper_towel,17.02779999999999,False,Labrador_retriever,16.80859999999999,True,spatula,4.08359,False
891327558926688256,2017-07-29 16:00:24+00:00,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",https://twitter.com/dog_rates/status/891327558926688256/photo/1,12,10,Franklin,None,7723,35167,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset,55.5712,True,English_springer,22.576999999999988,True,German_short-haired_pointer,17.521900000000002,True
891087950875897856,2017-07-29 00:08:17+00:00,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,None,None,2586,17738,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake_Bay_retriever,42.5595,True,Irish_terrier,11.6317,True,Indian_elephant,7.69021999999999,False
890971913173991426,2017-07-28 16:27:12+00:00,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",https://gofundme.com/ydvmve-surgery-for-jax,13,10,Jax,None,1649,10324,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,34.1703,True,Border_collie,19.9287,True,ice_lolly,19.3548,False
890729181411237888,2017-07-28 00:22:40+00:00,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,https://twitter.com/dog_rates/status/890729181411237888/photo/1,13,10,None,None,15693,56641,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,56.614200000000004,True,Eskimo_dog,17.84059999999999,True,Pembroke,7.65069,True
890609185150312448,2017-07-27 16:25:51+00:00,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,None,3605,24436,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier,48.75739999999999,True,Irish_setter,19.3054,True,Chesapeake_Bay_retriever,11.8184,True
890240255349198849,2017-07-26 15:59:51+00:00,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,doggo,6075,27846,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,51.131899999999995,True,Cardigan,45.1038,True,Chihuahua,2.92482,True
890006608113172480,2017-07-26 00:31:25+00:00,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,https://twitter.com/dog_rates/status/890006608113172480/photo/1,13,10,Koda,None,6119,26955,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,95.7979,True,Pomeranian,1.38835,True,chow,0.8167479999999999,True
889880896479866881,2017-07-25 16:11:53+00:00,Twitter for iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,https://twitter.com/dog_rates/status/889880896479866881/photo/1,13,10,Bruno,None,4142,24496,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,French_bulldog,37.7417,True,Labrador_retriever,15.1317,True,muzzle,8.29811,False
